Origin	Trademark	logo	International Classes	Status	Application No	Application Date	Registration No	Registration Date	Next Renewal Due	他项权利	Registered Owner	certificate
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
